#depth	thinning	uncertainty (%)
depth	thinning	rel_unc	comment
1898.9	0.47365	0.14498891586614587
1902.5	0.47268	0.14524202420242024
1906.1	0.47169	0.14549174245797025
1909.5	0.47071	0.14572879267489539
1913.2	0.46972	0.1459869709614238
1916.6	0.46873	0.14622490559597212
1920.3	0.46771	0.14647965619721623
1923.9	0.46669	0.14672909211682272
1927.6	0.46564	0.14699123786616272
1931.3	0.46459	0.1472502636733464
1935.2	0.46352	0.14752114256127027
1938.8	0.46246	0.14777494269774683
1942.7	0.46136	0.14804707820357205
1946.6	0.46027	0.14831729202424662
1950.5	0.45919	0.14858555282127223
1954.4	0.45808	0.14886264407963676
1958.8	0.45687	0.14916715914811654
1962.9	0.45569	0.14945467313305097
1966.8	0.4546	0.14972943246810383
1970.6	0.45352	0.14999338507673313
1974.4	0.45246	0.15025416611413164
1978.1	0.45142	0.1505139338088698
1981.5	0.45044	0.15075259746026107
1985.0	0.44948	0.15099670730622053
1988.3	0.44856	0.15122168717674336
1991.6	0.44764	0.15145876150478063
1994.8	0.44676	0.15168099203151583
1997.8	0.44588	0.15189064322239165
2000.8	0.44505	0.15209751713290642
2003.7	0.44422	0.1523006618342263
2006.7	0.44339	0.1525113331378696
2009.7	0.44255	0.15272172635860354
2012.7	0.4417	0.1529273262395291
2015.8	0.44085	0.15314279233299308
2018.7	0.43994	0.1533504568804837
2021.7	0.43904	0.15355548469387756
2024.8	0.43813	0.15377399402003972
2027.7	0.43722	0.15397054114633366
2030.7	0.43629	0.15418185152077746
2033.7	0.43536	0.15439636163175302
2036.9	0.4344	0.15461556169429097
2040.0	0.43346	0.15483089558436766
2042.9	0.43256	0.15503282781579433
2045.9	0.43165	0.15524151511641376
2049.0	0.4307	0.15545855583933132
2052.1	0.42976	0.15567526061057335
2055.2	0.42884	0.15589030873985635
2058.1	0.42793	0.1560932862851401
2061.0	0.42701	0.15630078920868362
2064.1	0.4261	0.15651255573808964
2067.1	0.42518	0.15672185897737428
2070.1	0.42427	0.15692837108445096
2073.1	0.42332	0.15713880752149673
2076.4	0.42237	0.15736913133035016
2079.5	0.42141	0.15758762250539854
2082.7	0.42044	0.15781324326895632
2086.0	0.41946	0.1580436752014495
2089.2	0.41847	0.15826702033598583
2092.5	0.41747	0.15850001197690852
2095.9	0.41647	0.1587317213724878
2099.3	0.41546	0.1589683724064892
2102.5	0.41445	0.15919411267945469
2105.8	0.41344	0.1594233746130031
2109.3	0.41244	0.1596692852293667
