#depth	accumulation (m ice equiv)	error (%)
depth	deporate	rel_unc	comment
389.748	0.2688	0.0744047619047619
392.046	0.2513	0.07958615200955033
394.519	0.2603	0.0768344218209758
396.773	0.2598	0.07698229407236337
399.245	0.2572	0.07776049766718508
401.586	0.2594	0.07710100231303006
403.939	0.2609	0.07665772326561901
406.204	0.2576	0.07763975155279504
408.775	0.255	0.0784313725490196
410.875	0.2492	0.08025682182985554
413.271	0.2444	0.08183306055646482
415.328	0.2426	0.08244023083264633
417.648	0.2351	0.08507018290089324
419.803	0.2373	0.08428150021070376
421.882	0.2333	0.08572653236176597
424.158	0.2358	0.08481764206955046
426.116	0.2364	0.08460236886632826
428.315	0.2443	0.08186655751125665
430.558	0.2578	0.07757951900698216
433.118	0.2703	0.07399186089530152
435.591	0.2634	0.0759301442672741
438.085	0.2603	0.0768344218209758
440.241	0.2497	0.08009611533840609
442.484	0.2457	0.0814000814000814
444.661	0.2481	0.08061265618702136
447.068	0.2513	0.07958615200955033
449.365	0.2513	0.07958615200955033
451.587	0.244	0.0819672131147541
453.742	0.2421	0.08261049153242461
455.941	0.2445	0.081799591002045
458.151	0.2569	0.07785130400934215
460.471	0.2639	0.0757862826828344
463.042	0.2688	0.0744047619047619
465.471	0.2623	0.07624857033930614
467.757	0.2525	0.07920792079207921
469.945	0.255	0.0784313725490196
472.232	0.2533	0.07895775759968417
474.595	0.2621	0.07630675314765357
476.86	0.2582	0.0774593338497289
479.398	0.256	0.078125
481.608	0.2483	0.08054772452678212
483.775	0.2437	0.08206811653672548
485.974	0.242	0.08264462809917356
488.118	0.2531	0.07902015013828527
490.35	0.2532	0.07898894154818326
492.768	0.2577	0.07760962359332557
495.055	0.2634	0.0759301442672741
497.374	0.2646	0.07558578987150416
499.803	0.2639	0.0757862826828344
502.21	0.2628	0.07610350076103502
504.442	0.2606	0.07674597083653109
506.838	0.256	0.078125
509.125	0.2528	0.0791139240506329
511.313	0.2481	0.08061265618702136
513.479	0.2485	0.08048289738430583
515.788	0.258	0.07751937984496124
518.009	0.2632	0.07598784194528876
520.492	0.2591	0.0771902740254728
522.768	0.2537	0.07883326763894365
524.891	0.2482	0.08058017727639001
527.232	0.2464	0.08116883116883117
529.289	0.252	0.07936507936507936
531.576	0.2597	0.07701193685021179
533.939	0.2628	0.07610350076103502
536.28	0.2697	0.07415647015202077
538.676	0.2813	0.07109847138286528
541.039	0.2797	0.07150518412584912
543.764	0.2818	0.07097232079488999
546.094	0.2779	0.07196833393306945
548.556	0.2638	0.07581501137225172
550.93	0.2692	0.07429420505200594
553.129	0.2703	0.07399186089530152
555.602	0.2745	0.07285974499089252
558.096	0.2821	0.07089684509039347
560.7	0.2788	0.07173601147776185
563.053	0.2699	0.07410151908114117
565.438	0.2583	0.07742934572202866
567.582	0.254	0.07874015748031496
569.792	0.2615	0.07648183556405354
572.155	0.27	0.07407407407407407
574.537	0.2766	0.07230657989877079
576.928	0.2712	0.07374631268436578
579.395	0.2663	0.07510326699211417
581.659	0.2612	0.0765696784073507
583.897	0.258	0.07751937984496124
586.059	0.2643	0.07567158531971245
588.511	0.2664	0.07507507507507508
590.878	0.2712	0.07374631268436578
593.333	0.2671	0.07487832272557095
595.524	0.2698	0.07412898443291327
597.985	0.2601	0.07689350249903883
600.236	0.2569	0.07785130400934215
602.431	0.2474	0.08084074373484236
604.5	0.2574	0.0777000777000777
606.861	0.2639	0.0757862826828344
609.322	0.2695	0.07421150278293136
611.513	0.2685	0.07448789571694599
613.912	0.2599	0.07695267410542515
616.089	0.2598	0.07698229407236337
618.358	0.2581	0.07748934521503294
620.555	0.2637	0.07584376185058779
622.981	0.2685	0.07448789571694599
625.313	0.2678	0.07468259895444362
627.609	0.2595	0.07707129094412331
629.879	0.265	0.07547169811320754
632.09	0.2685	0.07448789571694599
634.723	0.2741	0.07296607077708865
636.998	0.272	0.07352941176470588
639.183	0.2647	0.07555723460521345
641.454	0.2599	0.07695267410542515
643.862	0.2613	0.07654037504783774
645.977	0.2556	0.0782472613458529
648.158	0.2593	0.07713073659853452
650.459	0.2602	0.0768639508070715
652.795	0.2613	0.07654037504783774
654.991	0.2571	0.07779074290159471
657.174	0.2646	0.07558578987150416
659.442	0.2644	0.075642965204236
661.806	0.2623	0.07624857033930614
663.91	0.2519	0.07939658594680428
666.145	0.2477	0.08074283407347597
668.154	0.247	0.08097165991902834
670.309	0.2503	0.07990411506192568
672.496	0.2505	0.07984031936127745
674.637	0.2505	0.07984031936127745
676.762	0.25	0.08
678.97	0.2513	0.07958615200955033
