#depth	LID	stdev (%)
depth	LID	rel_unc	comment
882.6808	68.4669	0.1
884.6814	68.3295	0.1
886.8228	68.246	0.1
888.8848	68.2201	0.1
890.9193	68.1928	0.1
893.2283	68.195	0.1
895.428	68.178	0.1
897.5273	68.1213	0.1
899.6634	68.045	0.1
901.9132	67.9819	0.1
904.0098	67.9035	0.1
905.95	67.842	0.1
908.0483	67.7617	0.1
910.1506	67.674	0.1
912.4023	67.6987	0.1
914.5058	67.7733	0.1
916.5444	67.814	0.1
918.6898	67.9089	0.1
920.7475	67.9907	0.1
922.5174	68.1517	0.1
924.5489	68.2865	0.1
926.5918	68.4388	0.1
928.5733	68.5314	0.1
930.7805	68.497	0.1
932.7868	68.3605	0.1
934.8838	68.2048	0.1
936.8946	68.0369	0.1
938.8822	67.9272	0.1
940.8967	67.8343	0.1
943.0587	67.7912	0.1
945.0405	67.8097	0.1
947.0038	67.8599	0.1
948.9205	67.8096	0.1
951.0312	67.6911	0.1
952.8951	67.574	0.1
954.9945	67.4311	0.1
957.0845	67.3769	0.1
959.0827	67.4337	0.1
960.9915	67.5692	0.1
962.7821	67.7404	0.1
964.8362	67.8559	0.1
966.7038	67.8323	0.1
968.7757	67.7638	0.1
970.9134	67.6541	0.1
972.9662	67.5323	0.1
975.193	67.503	0.1
977.1058	67.498	0.1
979.1204	67.4395	0.1
981.1331	67.3809	0.1
983.1246	67.3612	0.1
985.1903	67.4168	0.1
987.3057	67.4886	0.1
989.2471	67.568	0.1
991.0181	67.5273	0.1
992.8448	67.4846	0.1
994.8317	67.4115	0.1
996.9679	67.3921	0.1
998.9444	67.5514	0.1
1000.7128	67.6845	0.1
1002.6706	67.9003	0.1
1004.5619	68.0236	0.1
1006.3728	68.0067	0.1
1008.275	67.9273	0.1
1010.427	67.7023	0.1
1012.4497	67.5216	0.1
1014.4347	67.4533	0.1
1016.2371	67.393	0.1
1018.2458	67.3778	0.1
1020.3612	67.2964	0.1
1022.3916	67.1252	0.1
1024.3481	66.9866	0.1
1025.9984	66.9903	0.1
1027.8097	67.1449	0.1
1029.7016	67.3281	0.1
1031.5681	67.4288	0.1
1033.3053	67.3461	0.1
1035.1959	67.2769	0.1
1037.0382	67.2124	0.1
1039.0784	67.3012	0.1
1040.8988	67.4431	0.1
1042.8198	67.5631	0.1
1044.6583	67.6144	0.1
1046.4706	67.5713	0.1
1048.3934	67.3962	0.1
1050.2632	67.2807	0.1
1052.2722	67.2232	0.1
1054.0885	67.1653	0.1
1056.0408	66.9772	0.1
1057.7776	66.63	0.1
1059.8424	66.4728	0.1
1061.6521	66.506	0.1
1063.4396	66.676	0.1
1065.3009	66.8343	0.1
1067.1619	66.9548	0.1
1069.0704	67.0818	0.1
1070.8451	67.2265	0.1
1072.7865	67.2551	0.1
1074.7135	67.189	0.1
1076.5621	67.0963	0.1
1078.3998	67.049	0.1
1080.3588	67.1157	0.1
1082.1441	67.1366	0.1
1083.9309	67.194	0.1
1085.6611	67.1786	0.1
1087.4706	67.174	0.1
1089.3364	67.1309	0.1
1091.2179	67.0875	0.1
1093.0146	67.0067	0.1
1094.7583	66.9026	0.1
1096.546	66.8998	0.1
1098.2654	66.8891	0.1
1100.1755	66.9436	0.1
1102.1008	66.9469	0.1
1103.9329	66.958	0.1
1105.8329	66.9806	0.1
1107.5985	66.9535	0.1
1109.5577	66.8701	0.1
1111.3083	66.7708	0.1
1113.2806	66.6375	0.1
1115.1332	66.6329	0.1
1116.8702	66.6583	0.1
1118.6081	66.7988	0.1
1120.5401	66.9536	0.1
1122.3788	67.0595	0.1
1124.0829	67.1087	0.1
1125.9657	67.1127	0.1
1127.8791	67.185	0.1
1129.6705	67.2991	0.1
1131.7906	67.5567	0.1
