Age [a] (b2k),Depth ice/snow [m] (NGRIP1),Depth ice/snow [m] (NGRIP2),MCE [a],comb_ngrip
4048,702.05,,6,702.05
4049,702.21,,6,702.21
4050,702.33,,6,702.33
4051,702.44,,6,702.44
4052,702.65,,6,702.65
4053,702.83,,6,702.83
4054,703.04,,6,703.04
4055,703.23,,6,703.23
4056,703.44,,6,703.44
4057,703.6,,6,703.6
4058,703.72,,6,703.72
4059,703.86,,6,703.86
4060,704.11,,6,704.11
4061,704.27,,6,704.27
4062,704.42,,6,704.42
4063,704.52,,6,704.52
4064,704.64,,6,704.64
4065,704.81,,6,704.81
4066,705.02,,6,705.02
4067,705.19,,6,705.19
4068,705.32,,6,705.32
4069,705.45,,6,705.45
4070,705.58,,6,705.58
4071,705.71,,6,705.71
4072,705.8,,6,705.8
4073,705.91,,6,705.91
4074,706.02,,6,706.02
4075,706.2,,6,706.2
4076,706.31,,6,706.31
4077,706.48,,6,706.48
4078,706.61,,6,706.61
4079,706.77,,6,706.77
4080,706.92,,6,706.92
4081,707.08,,6,707.08
4082,707.19,,6,707.19
4083,707.36,,6,707.36
4084,707.51,,7,707.51
4085,707.7,,7,707.7
4086,707.82,,7,707.82
4087,707.98,,7,707.98
4088,708.14,,7,708.14
4089,708.27,,7,708.27
4090,708.44,,7,708.44
4091,708.63,,7,708.63
4092,708.8,,7,708.8
4093,708.98,,7,708.98
4094,709.16,,7,709.16
4095,709.31,,7,709.31
4096,709.47,,7,709.47
4097,709.61,,7,709.61
4098,709.76,,7,709.76
4099,709.91,,7,709.91
4100,710.13,,7,710.13
4101,710.28,,7,710.28
4102,710.44,,7,710.44
4103,710.59,,7,710.59
4104,710.72,,7,710.72
4105,710.88,,7,710.88
4106,711.05,,7,711.05
4107,711.19,,7,711.19
4108,711.34,,7,711.34
4109,711.54,,7,711.54
4110,711.7,,7,711.7
4111,711.88,,7,711.88
4112,711.98,,7,711.98
4113,712.2,,7,712.2
4114,712.37,,7,712.37
4115,712.48,,7,712.48
4116,712.59,,7,712.59
4117,712.73,,7,712.73
4118,712.89,,7,712.89
4119,712.99,,7,712.99
4120,713.11,,7,713.11
4121,713.25,,7,713.25
4122,713.35,,7,713.35
4123,713.44,,7,713.44
4124,713.56,,7,713.56
4125,713.68,,7,713.68
4126,713.81,,7,713.81
4127,713.94,,7,713.94
4128,714.07,,7,714.07
4129,714.21,,7,714.21
4130,714.4,,7,714.4
4131,714.55,,7,714.55
4132,714.7,,7,714.7
4133,714.81,,7,714.81
4134,714.97,,7,714.97
4135,715.07,,7,715.07
4136,715.24,,7,715.24
4137,715.39,,7,715.39
4138,715.58,,7,715.58
4139,715.74,,7,715.74
4140,715.86,,7,715.86
4141,716.03,,7,716.03
4142,716.18,,7,716.18
4143,716.3,,7,716.3
4144,716.47,,7,716.47
4145,716.56,,7,716.56
4146,716.7,,7,716.7
4147,716.81,,7,716.81
4148,716.93,,7,716.93
4149,717.06,,7,717.06
4150,717.2,,7,717.2
4151,717.37,,7,717.37
4152,717.48,,7,717.48
4153,717.58,,7,717.58
4154,717.76,,7,717.76
4155,717.9,,7,717.9
4156,718.06,,7,718.06
4157,718.25,,7,718.25
4158,718.37,,7,718.37
4159,718.49,,7,718.49
4160,718.63,,7,718.63
4161,718.82,,7,718.82
4162,719.0,,7,719.0
4163,719.09,,7,719.09
4164,719.2,,7,719.2
4165,719.37,,7,719.37
4166,719.48,,7,719.48
4167,719.67,,7,719.67
4168,719.77,,7,719.77
4169,719.92,,7,719.92
4170,720.06,,7,720.06
4171,720.2,,7,720.2
4172,720.29,,7,720.29
4173,720.39,,7,720.39
4174,720.47,,7,720.47
4175,720.6,,7,720.6
4176,720.74,,7,720.74
4177,720.92,,7,720.92
4178,721.06,,7,721.06
4179,721.26,,7,721.26
4180,721.41,,7,721.41
4181,721.59,,7,721.59
4182,721.74,,7,721.74
4183,721.96,,7,721.96
4184,722.09,,7,722.09
4185,722.23,,7,722.23
4186,722.38,,7,722.38
4187,722.51,,7,722.51
4188,722.65,,7,722.65
4189,722.82,,7,722.82
4190,722.94,,7,722.94
4191,723.09,,7,723.09
4192,723.25,,7,723.25
4193,723.37,,7,723.37
4194,723.46,,7,723.46
4195,723.57,,7,723.57
4196,723.69,,7,723.69
4197,723.76,,7,723.76
4198,723.9,,7,723.9
4199,724.0,,7,724.0
4200,724.12,,7,724.12
4201,724.26,,7,724.26
4202,724.37,,7,724.37
4203,724.45,,7,724.45
4204,724.61,,7,724.61
4205,724.76,,7,724.76
4206,724.93,,7,724.93
4207,725.09,,7,725.09
4208,725.2,,7,725.2
4209,725.31,,7,725.31
4210,725.39,,7,725.39
4211,725.55,,7,725.55
4212,725.69,,7,725.69
4213,725.82,,7,725.82
4214,725.95,,7,725.95
4215,726.09,,7,726.09
4216,726.23,,7,726.23
4217,726.37,,7,726.37
4218,726.49,,7,726.49
4219,726.65,,7,726.65
4220,726.81,,7,726.81
4221,726.97,,7,726.97
4222,727.19,,7,727.19
4223,727.36,,7,727.36
4224,727.53,,7,727.53
4225,727.65,,7,727.65
4226,727.76,,7,727.76
