#ice dated horizons for WDC. From WAIS WD2014 Chronology. https://doi.pangaea.de/10.1594/PANGAEA.902577		
#depth (m) 	Cal age [a BP] (ice age)	Cal age std e
220.536	827	2
220.744	828	2
221.007	829	2
221.171	830	2
221.444	831	2
221.74	832	2
222.002	833	2
222.232	834	2
222.484	835	2
222.713	836	2
222.888	837	2
223.042	838	2
223.228	839	2
223.479	840	2
223.654	841	2
223.917	842	2
224.147	843	2
224.355	844	2
224.584	845	2
224.847	846	2
225.055	847	2
225.274	848	2
225.449	849	2
225.7	850	2
225.908	851	2
226.193	852	2
226.444	853	2
226.718	854	2
226.937	855	2
227.145	856	2
227.33	857	2
227.538	858	2
227.703	859	2
227.878	860	2
228.086	861	2
228.326	862	2
228.523	863	2
228.786	864	2
229.048	865	2
229.322	866	2
229.584	867	2
229.759	868	2
229.946	869	2
230.142	870	2
230.438	871	2
230.646	872	2
230.832	873	2
231.094	874	2
231.444	875	2
231.652	876	2
231.827	877	2
232.145	878	2
232.342	879	2
232.626	880	2
232.878	881	2
233.118	882	2
233.304	883	2
233.512	884	2
233.753	885	2
233.939	886	2
234.201	887	2
234.475	888	2
234.803	889	2
235.044	890	2
235.274	891	2
235.525	892	2
235.744	893	2
236.028	894	2
236.248	895	2
236.565	896	2
236.773	897	2
237.057	898	2
237.276	899	2
237.582	900	2
237.801	901	2
238.042	902	2
238.239	903	2
238.425	904	2
238.665	905	2
238.928	906	2
239.256	907	2
239.573	908	2
239.847	909	2
240.077	910	2
240.285	911	2
240.514	912	2
240.821	913	2
241.094	914	2
241.291	915	2
241.521	916	2
241.74	917	2
241.991	918	2
242.199	919	2
242.429	920	2
242.703	921	2
242.943	922	2
243.162	923	2
243.392	924	2
243.654	925	2
243.862	926	2
244.081	927	2
244.355	928	2
244.584	929	2
244.77	930	2
244.956	931	2
245.153	932	2
245.46	933	2
245.668	934	2
245.93	935	2
246.105	936	2
246.313	937	2
246.619	938	2
246.849	939	2
247.167	940	2
247.495	941	2
247.79	942	2
248.075	943	2
248.271	944	2
248.479	945	2
248.742	946	2
249.07	947	2
249.311	948	2
249.519	949	2
249.748	950	2
249.956	951	2
250.175	952	2
250.383	953	2
250.624	954	2
250.919	955	2
251.171	956	2
251.39	957	2
251.587	958	2
251.838	959	2
252.079	960	2
252.298	961	2
252.528	962	2
252.757	963	2
252.998	964	2
253.206	965	2
253.447	966	2
253.687	967	2
253.906	968	2
254.158	969	2
254.398	970	2
254.661	971	2
254.935	972	2
255.131	973	2
255.328	974	2
255.624	975	2
255.843	976	2
256.072	977	2
256.346	978	2
256.565	979	2
256.827	980	2
257.068	981	2
257.32	982	2
257.56	983	2
257.801	984	2
258.064	985	2
258.326	986	2
258.578	987	2
258.84	988	2
259.059	989	2
259.245	990	2
259.519	991	2
259.759	992	2
259.978	993	2
260.186	994	2
260.438	995	2
260.646	996	2
260.93	997	2
261.149	998	2
261.39	999	2
261.663	1000	2
261.937	1001	2
262.156	1002	2
262.407	1003	2
262.681	1004	2
262.954	1005	2
263.151	1006	2
263.359	1007	2
263.654	1008	2
263.928	1009	2
264.103	1010	2
264.398	1011	2
264.65	1012	2
265.033	1013	2
265.317	1014	2
265.558	1015	2
265.744	1016	2
266.039	1017	2
266.247	1018	2
266.543	1019	2
266.827	1020	2
267.09	1021	2
267.352	1022	2
267.593	1023	2
267.779	1024	2
268.02	1025	2
268.217	1026	2
268.468	1027	2
268.72	1028	2
268.983	1029	2
269.256	1030	2
269.486	1031	2
269.759	1032	2
270.022	1033	2
270.252	1034	2
270.416	1035	2
270.7	1036	2
270.941	1037	2
271.127	1038	2
271.379	1039	2
271.598	1040	2
