#top depth (m)	bottom depth (m)	duration (yr)	sigma duration (yr)
2281.775	2283.452	100	3.0
2283.452	2285.136	100	6.0
2285.136	2286.872	100	4.0
2286.872	2288.595	100	5.0
2288.595	2290.305	100	5.0
2290.305	2292.067	100	5.0
2292.067	2293.691	100	6.0
2293.691	2295.368	100	5.0
2295.368	2297.094	100	7.0
2297.094	2298.979	100	8.0
2298.979	2300.876	100	6.0
2300.876	2302.669	100	6.0
2302.669	2304.412	100	6.0
2304.412	2306.217	100	7.0
2306.217	2308.089	100	6.0
2308.089	2309.945	100	5.0
2309.945	2311.952	100	4.0
2311.952	2313.85	100	6.0
2313.85	2315.852	100	4.0
2315.852	2317.799	100	6.0
2317.799	2319.784	100	8.0
2319.784	2321.673	100	6.0
2321.673	2323.591	100	10.0
2323.591	2325.496	100	7.0
2325.496	2327.472	100	6.0
2327.472	2329.52	100	3.0
2329.52	2331.476	100	7.0
2331.476	2333.598	100	6.0
2333.598	2335.596	100	6.0
2335.596	2337.616	100	6.0
2337.616	2339.753	100	6.0
2339.753	2341.496	100	7.0
2341.496	2343.546	100	6.0
2343.546	2345.628	100	3.0
2345.628	2346.91	100	6.0
2346.91	2348.164	100	6.0
2348.164	2349.267	100	6.0
2349.267	2350.428	100	4.0
2350.428	2351.529	100	5.0
2351.529	2352.729	100	6.0
2352.729	2354.088	100	7.0
2354.088	2355.686	100	10.0
2355.686	2356.77	100	6.0
2356.77	2357.795	100	5.0
2357.795	2358.862	100	4.0
2358.862	2360.022	100	3.0
2360.022	2361.656	100	6.0
2361.656	2363.338	100	7.0
2363.338	2365.256	100	6.0
2365.256	2366.647	100	5.0
2366.647	2367.805	100	5.0
2367.805	2368.915	100	5.0
2368.915	2370.0	100	5.0
2370.0	2371.12	100	7.0
2371.12	2372.29	100	6.0
2372.29	2373.444	100	5.0
2373.444	2374.754	100	6.0
2374.754	2376.166	100	4.0
2376.166	2377.744	100	5.0
2377.744	2379.353	100	7.0
2379.353	2380.828	100	5.0
2380.828	2382.309	100	6.0
2382.309	2383.855	100	5.0
2383.855	2385.319	100	4.0
2385.319	2386.859	100	2.0
2386.859	2388.368	100	3.0
2388.368	2389.919	100	4.0
2389.919	2391.553	100	2.0
2391.553	2393.253	100	5.0
2393.253	2395.038	100	4.0
2395.038	2396.869	100	4.0
2396.869	2398.532	100	5.0
2398.532	2399.885	100	5.0
2399.885	2401.587	100	7.0
2401.587	2403.206	100	5.0
2403.206	2404.459	100	7.0
2404.459	2405.576	100	6.0
2405.576	2407.038	100	5.0
2407.038	2408.896	100	6.0
2408.896	2410.435	100	4.0
2410.435	2412.143	100	6.0
2412.143	2414.015	100	6.0
2414.015	2415.616	100	6.0
2415.616	2416.8	100	3.0
2416.8	2418.072	100	6.0
2418.072	2420.177	100	3.0
2420.177	2421.531	100	6.0
2421.531	2422.613	100	6.0
2422.613	2423.693	100	6.0
2423.693	2424.793	100	5.0
2424.793	2425.816	100	2.0
2425.816	2426.872	100	3.0
2426.872	2427.981	100	7.0
